x=  47.8 y=  66.1 sz=14.4 #004c99   | PK Blood Draw - Brexpiprazole/Sertraline
x= 402.8 y= 619.2 sz= 7.8 #ff0000   | [LBREQ8]
x= 506.0 y= 619.2 sz= 7.8 #ff0000   | [LBBREQ8]
x= 356.3 y= 629.1 sz= 7.8 #ff0000   | R]
x= 459.6 y= 629.1 sz= 7.8 #ff0000   | R]
x=  64.1 y= 632.4 sz= 9.2 black     | Brexpiprazole/Sertraline PK
x= 246.5 y= 632.4 sz= 9.2 black     | Collected
x= 185.7 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 299.5 y= 633.6 sz= 7.8 #ff0000   | [TYPE:
x= 402.8 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 506.0 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 356.3 y= 643.4 sz= 7.8 #ff0000   | [TYPE:
x= 459.6 y= 643.4 sz= 7.8 #ff0000   | [TYPE:
x= 299.5 y= 644.7 sz= 7.8 #ff0000   | partialtime
x=  64.1 y= 645.5 sz= 9.2 black     | Sertraline PK
x= 246.5 y= 645.5 sz= 9.2 black     | Not
x= 185.7 y= 648.0 sz= 7.8 #ff0000   | [Read-only
x= 356.3 y= 654.5 sz= 7.8 #ff0000   | enumerati
x= 459.6 y= 654.5 sz= 7.8 #ff0000   | enumerati
x= 299.5 y= 655.9 sz= 7.8 #ff0000   | (hour,
x=  64.1 y= 658.6 sz= 9.2 black     | Propranolol PK
x= 246.5 y= 658.6 sz= 9.2 black     | Collected
x= 185.7 y= 659.1 sz= 7.8 #ff0000   | field]
x= 356.3 y= 665.7 sz= 7.8 #ff0000   | on
x= 459.6 y= 665.7 sz= 7.8 #ff0000   | on
x= 299.5 y= 667.0 sz= 7.8 #ff0000   | minutes)]
x=  64.1 y= 671.7 sz= 9.2 black     | Prazosin PK
x= 242.6 y= 674.8 sz= 7.8 #ff0000   | [LBSTAT8]
x= 356.3 y= 676.8 sz= 7.8 #ff0000   | (values:
x= 459.6 y= 676.8 sz= 7.8 #ff0000   | (values:
x=  45.8 y= 687.9 sz= 7.8 #ff0000   | [LBCAT8]
x= 356.3 y= 687.9 sz= 7.8 #ff0000   | Scan)]
x= 459.6 y= 687.9 sz= 7.8 #ff0000   | Scan)]
x= 242.6 y= 689.2 sz= 7.8 #ff0000   | [TYPE:
x= 242.6 y= 700.3 sz= 7.8 #ff0000   | enumeration
x=  45.8 y= 702.3 sz= 7.8 #ff0000   | [TYPE: enumeration (values:
x= 356.3 y= 702.3 sz= 7.8 #ff0000   | [VISIBILIT
x= 459.6 y= 702.3 sz= 7.8 #ff0000   | [VISIBILIT
x= 242.6 y= 711.4 sz= 7.8 #ff0000   | (values:
x=  45.8 y= 713.4 sz= 7.8 #ff0000   | Brexpiprazole/Sertraline PK,
x= 356.3 y= 713.4 sz= 7.8 #ff0000   | Y: site
x= 459.6 y= 713.4 sz= 7.8 #ff0000   | Y: site
x= 242.6 y= 722.5 sz= 7.8 #ff0000   | Collected,
x=  45.8 y= 724.5 sz= 7.8 #ff0000   | Sertraline PK, Propranolol PK,
x= 356.3 y= 724.5 sz= 7.8 #ff0000   | only]
x= 459.6 y= 724.5 sz= 7.8 #ff0000   | only]
x= 242.6 y= 733.6 sz= 7.8 #ff0000   | Not
x=  45.8 y= 735.6 sz= 7.8 #ff0000   | Prazosin PK)]
x= 242.6 y= 744.8 sz= 7.8 #ff0000   | Collected)]
x=  45.8 y= 750.0 sz= 7.8 #ff0000   | [Read-only field]
x=  45.8 y= 778.1 sz= 7.8 black   B | Row 3
x= 186.4 y= 798.4 sz= 7.8 #454545   | 2h Postdose
x=  54.3 y= 803.1 sz= 9.2 #454545   | B
x=  78.2 y= 803.1 sz= 9.2 #454545   | i
x= 103.1 y= 803.1 sz= 9.2 #454545   | l /S
x= 127.1 y= 803.1 sz= 9.2 #454545   | t
x= 137.7 y= 803.1 sz= 9.2 #454545   | li
x= 364.8 y= 803.1 sz= 9.2 #454545   | S
x= 468.1 y= 803.1 sz= 9.2 #454545   | S
