x= 174.2 y= 396.9 sz= 6.0 black     | Vital Signs Details
x=  44.7 y= 408.9 sz= 6.0 black     | 51
x=  56.1 y= 411.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 411.9 sz= 6.0 black     | 2
x= 562.0 y= 411.9 sz= 6.0 black     | Temperature (°C)
x=  44.7 y= 423.9 sz= 6.0 black     | 52
x=  56.1 y= 426.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 426.9 sz= 6.0 black     | 2
x= 562.0 y= 426.9 sz= 6.0 black     | Respiratory Rate (breaths/min)
x=  44.7 y= 438.9 sz= 6.0 black     | 53
x=  56.1 y= 441.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 441.9 sz= 6.0 black     | 2
x= 562.0 y= 441.9 sz= 6.0 black     | Systolic Blood Pressure (mmHg)
x=  44.7 y= 453.9 sz= 6.0 black     | 54
x=  56.1 y= 456.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 456.9 sz= 6.0 black     | 2
x= 562.0 y= 456.9 sz= 6.0 black     | Diastolic Blood Pressure (mmHg)
x=  44.7 y= 468.9 sz= 6.0 black     | 55
x=  56.1 y= 471.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 471.9 sz= 6.0 black     | 2
x= 562.0 y= 471.9 sz= 6.0 black     | Pulse Rate (beats/min)
x=  44.7 y= 483.9 sz= 6.0 black     | 56
x=  56.1 y= 486.9 sz= 6.0 black     | 1 Hour Post Dose
x= 128.0 y= 486.9 sz= 6.0 black     | 2
x= 562.0 y= 486.9 sz= 6.0 black     | SpO2
