x=  54.9 y= 302.6 sz= 4.8 black     | 6 Hours Post Dose
x= 118.4 y= 302.6 sz= 4.8 black     | Left
x= 149.0 y= 302.6 sz= 4.8 black     | 1
x= 382.2 y= 308.0 sz= 4.8 black     | No
x= 478.1 y= 308.0 sz= 4.8 black     | No
x=  44.7 y= 318.2 sz= 4.8 black     | 34
x= 382.2 y= 319.4 sz= 4.8 black     | Yes
x= 478.1 y= 319.4 sz= 4.8 black     | Yes
x=  54.9 y= 321.8 sz= 4.8 black     | 6 Hours Post Dose
x= 118.4 y= 321.8 sz= 4.8 black     | Left
x= 149.0 y= 321.8 sz= 4.8 black     | 2
x= 382.2 y= 327.2 sz= 4.8 black     | No
x= 478.1 y= 327.2 sz= 4.8 black     | No
x=  44.7 y= 337.3 sz= 4.8 black     | 35
x= 382.2 y= 338.5 sz= 4.8 black     | Yes
x= 478.1 y= 338.5 sz= 4.8 black     | Yes
x=  54.9 y= 340.9 sz= 4.8 black     | 6 Hours Post Dose
x= 118.4 y= 340.9 sz= 4.8 black     | Right
x= 149.0 y= 340.9 sz= 4.8 black     | 1
x= 382.2 y= 346.3 sz= 4.8 black     | No
x= 478.1 y= 346.3 sz= 4.8 black     | No
x=  44.7 y= 356.5 sz= 4.8 black     | 36
x= 382.2 y= 357.7 sz= 4.8 black     | Yes
x= 478.1 y= 357.7 sz= 4.8 black     | Yes
x=  54.9 y= 360.1 sz= 4.8 black     | 6 Hours Post Dose
x= 118.4 y= 360.1 sz= 4.8 black     | Right
x= 149.0 y= 360.1 sz= 4.8 black     | 2
x= 382.2 y= 365.5 sz= 4.8 black     | No
x= 478.1 y= 365.5 sz= 4.8 black     | No
x=  44.7 y= 375.7 sz= 4.8 black     | 37
x= 382.2 y= 376.9 sz= 4.8 black     | Yes
x= 478.1 y= 376.9 sz= 4.8 black     | Yes
x=  54.9 y= 379.3 sz= 4.8 black     | 8 Hours Post Dose
x= 118.4 y= 379.3 sz= 4.8 black     | Left
x= 149.0 y= 379.3 sz= 4.8 black     | 1
x= 382.2 y= 384.7 sz= 4.8 black     | No
x= 478.1 y= 384.7 sz= 4.8 black     | No
x=  44.7 y= 394.9 sz= 4.8 black     | 38
x= 382.2 y= 396.1 sz= 4.8 black     | Yes
x= 478.1 y= 396.1 sz= 4.8 black     | Yes
x=  54.9 y= 398.5 sz= 4.8 black     | 8 Hours Post Dose
x= 118.4 y= 398.5 sz= 4.8 black     | Left
x= 149.0 y= 398.5 sz= 4.8 black     | 2
x= 382.2 y= 403.9 sz= 4.8 black     | No
x= 478.1 y= 403.9 sz= 4.8 black     | No
x=  44.7 y= 414.1 sz= 4.8 black     | 39
x= 382.2 y= 415.3 sz= 4.8 black     | Yes
x= 478.1 y= 415.3 sz= 4.8 black     | Yes
x=  54.9 y= 417.7 sz= 4.8 black     | 8 Hours Post Dose
x= 118.4 y= 417.7 sz= 4.8 black     | Right
x= 149.0 y= 417.7 sz= 4.8 black     | 1
x= 382.2 y= 423.1 sz= 4.8 black     | No
x= 478.1 y= 423.1 sz= 4.8 black     | No
x=  44.7 y= 433.3 sz= 4.8 black     | 40
x= 382.2 y= 434.5 sz= 4.8 black     | Yes
x= 478.1 y= 434.5 sz= 4.8 black     | Yes
x=  54.9 y= 436.8 sz= 4.8 black     | 8 Hours Post Dose
x= 118.4 y= 436.8 sz= 4.8 black     | Right
x= 149.0 y= 436.8 sz= 4.8 black     | 2
x= 382.2 y= 442.2 sz= 4.8 black     | No
